Date,ALL,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîN
2022/3/5,60155.0,0.9276791450162648,0.9789508266300625
2022/3/6,45991.0,0.9444520431649247,0.9771042131207047
2022/3/7,22567.0,0.9651425131648493,0.9737481242719321
2022/3/8,65392.0,0.9558544094403647,0.9695010539219542
2022/3/9,63416.0,0.9489147328095249,0.97117020334897
2022/3/10,54414.0,0.9603827456225363,0.9496437114116076
2022/3/11,48945.0,0.9642236887808266,0.954959787565691
2022/3/12,53565.0,0.9636689541870327,0.9600272822448556
2022/3/13,41927.0,0.9704777211261361,0.9624055743216021
2022/3/14,21662.0,0.985974766434277,0.9659027234347546
2022/3/15,60579.0,0.9836733994620617,0.970326506817402
2022/3/16,57633.0,0.969666868009653,0.9718914940521067
2022/3/17,48592.0,0.9663142800747733,0.9720350144054829
2022/3/18,41197.0,0.959938002804635,0.9706553107048306
2022/3/19,42770.0,0.9442990901253518,0.9664121823767917
2022/3/20,33580.0,0.9411296151066414,0.9621764259306296
2022/3/21,19555.0,0.9667451329685711,0.9609890770230142
2022/3/22,16008.0,0.8474639966275943,0.9220628414384991
2022/3/23,53425.0,0.8394931327449935,0.922212897424648
2022/3/24,50852.0,0.9924884801511559,0.9291307389199202
2022/3/25,43748.0,1.0188572750042135,0.9380428285143979
2022/3/26,46142.0,1.0230120402351324,0.9506298550346718
2022/3/27,37613.0,1.0284875624187306,0.9621368315664238
2022/3/28,20007.0,1.0170331548365046,0.9645034122956494
2022/3/29,55201.0,1.1482926427847373,1.0493769115662293
2022/3/30,54730.0,1.151227618140742,1.0555718096189366
2022/3/31,49664.0,1.0003811223891488,1.0517544677262927
2022/4/1,46142.0,1.0039118630653308,1.0511244452953048
2022/4/2,49567.0,1.0189479168362612,1.050558967637442
2022/4/3,39160.0,1.0160646722606534,1.047481168823849
2022/4/4,19865.0,1.0044899080927,1.0468406240422117
2022/4/5,55949.0,1.0019270457371268,1.0074586480363639
2022/4/6,57634.0,1.011618399829478,1.0088794773314853
2022/4/7,53080.0,1.0200585888528835,1.0130812232830153
2022/4/8,49264.0,1.020560976913715,1.0136318564599112
2022/4/9,53119.0,1.0207655951984618,1.0135972411965735
