Date,ALL,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîB_7ïΩãœ,é¿å¯çƒê∂éYêîB_7TMA,é¿å¯çƒê∂éYêîN,é¿å¯çƒê∂éYêîN_7ïΩãœ,é¿å¯çƒê∂éYêîN_dì˙å„,é¿å¯çƒê∂éYêîNïΩãœ_dì˙å„,ä¥êıé“_7ì˙ïΩãœ,ä¥êıé“_TMA,dI(t)/dt
2022/1/26,81333.0,1.213333257191153,1.171437123413819,1.1788764890536672,1.225792335484048,1.2345452546128983,1.1621199292769602,1.167507840558139,74266.57142857143,72675.08163265306,3410.1428571428696
2022/1/27,85957.0,1.1639191924335195,1.1562534318471611,1.159255734309355,1.2005934685497568,1.2111227470002013,1.1497105139533788,1.1494494497906127,77795.85714285714,76085.22448979593,3002.2653061224264
2022/1/28,85060.0,1.1450477248338573,1.1454529684420751,1.1417360753823351,1.1799016915575944,1.1882795259537906,1.139553650788949,1.132646476169637,79034.57142857143,79087.48979591836,2599.4081632653106
2022/1/29,97543.0,1.1371393573506574,1.12831520332814,1.12535027685694,1.1621199292769602,1.167507840558139,1.114883294296286,1.1167590744620333,82103.14285714286,81686.89795918367,1988.8775510203996
2022/1/30,78473.0,1.1191992140937004,1.1078555651860744,1.109408278433062,1.1497105139533788,1.1494494497906127,1.0993836001113648,1.100787055088777,84576.14285714286,83675.77551020407,1416.8979591836978
2022/1/31,41836.0,1.064201159529571,1.0917859409369897,1.093204603285763,1.139553650788949,1.132646476169637,1.0829726532029282,1.0843825184546474,86325.85714285714,85092.67346938777,1236.2040816326335
2022/2/1,104520.0,1.0553665178645208,1.0763517048443196,1.077117751099385,1.114883294296286,1.1167590744620333,1.0686898796043662,1.0687506592712437,87706.14285714286,86328.8775510204,794.0816326530767
2022/2/2,98644.0,1.0701157901966951,1.0598431344466752,1.0623370237515757,1.0993836001113648,1.100787055088777,1.0503157936641672,1.0550377746806496,88188.71428571429,87122.95918367348,395.16326530612423
2022/2/3,98205.0,1.0514318226899266,1.042827705816067,1.0489677071637438,1.0829726532029282,1.0843825184546474,1.0348787575144691,1.0421597462563623,87714.14285714286,87518.1224489796,61.42857142856519
2022/2/4,94722.0,1.037008072185165,1.03284500313743,1.0366335332716086,1.0686898796043662,1.0687506592712437,1.0301306365051237,1.0305094607039067,87688.0,87579.55102040817,-264.3469387755031
2022/2/5,100921.0,1.0215793645671467,1.0248501118934707,1.0254016351939357,1.0503157936641672,1.0550377746806496,1.018893102162128,1.0198289077615157,87661.71428571429,87315.20408163266,-1573.5714285714348
2022/2/6,75151.0,1.0000912136794458,1.0142703490712537,1.013833637265471,1.0348787575144691,1.0421597462563623,1.0092374011413543,1.0072977083764765,87342.28571428571,85741.63265306123,-1442.8775510203996
2022/2/7,41653.0,0.9943222407791084,1.005446723692044,1.0027354729095626,1.0301306365051237,1.0305094607039067,1.001420654335739,0.9974080070845966,86755.85714285714,84298.75510204083,-1518.326530612234
2022/2/8,104336.0,0.9994022791568064,0.997728418300607,0.9931491349019876,1.018893102162128,1.0198289077615157,0.9939260090076258,0.9879261333405278,85855.71428571429,82780.4285714286,-1601.4489795918635
2022/2/9,96408.0,0.9960574504411746,0.978867148947424,0.9844114685671423,1.0092374011413543,1.0072977083764765,0.9625973979688952,0.9797500685326276,77173.71428571429,81178.97959183673,-1623.1020408163313
2022/2/10,94100.0,0.989666445035461,0.9651405553247088,0.9769798615638235,1.001420654335739,0.9974080070845966,0.9656508484713096,0.9728541473008387,77614.0,79555.8775510204,-1694.408163265296
2022/2/11,88421.0,0.982979934445106,0.965740637084405,0.9706041464906162,0.9939260090076258,0.9879261333405278,0.9637575202966424,0.9667750283084116,77059.71428571429,77861.4693877551,-1879.8979591836687
2022/2/12,40147.0,0.8895504790948655,0.9636864475495548,0.964796283410771,0.9625973979688952,0.9797500685326276,0.961660648506827,0.9610107661807502,76451.57142857143,75981.57142857143,114.53061224489647
2022/2/13,78233.0,0.904005058320438,0.9622491000480208,0.9647763462345552,0.9656508484713096,0.9728541473008387,0.960965952518832,0.9667764489889568,75980.57142857143,76096.10204081633,-318.3469387755031
2022/2/14,37773.0,0.9985228130969834,0.9608167181795944,0.9694313580306324,0.9637575202966424,0.9667750283084116,0.958866821388749,0.9704993472003788,74895.0,75777.75510204083,-396.8571428571595
2022/2/15,100079.0,0.9850229524128564,0.9570733767416888,0.9730640510662724,0.961660648506827,0.9610107661807502,0.9535761741139956,0.9741860724851946,72696.42857142857,75380.89795918367,-653.2448979591718
2022/2/16,93111.0,0.985996017930436,0.978727588713914,0.9763465262608182,0.960965952518832,0.9667764489889568,1.0029571776263413,0.9771678126488162,77975.42857142857,74727.6530612245,-772.2244897959317
2022/2/17,86501.0,0.9796397719564768,0.997725637897249,0.9791017494286908,0.958866821388749,0.9704993472003788,0.9917111359512618,0.9797633281615904,75385.57142857143,73955.42857142857,-1665.4285714285652
2022/2/18,73031.0,0.9567765443797662,0.9911694883338856,0.980023479105798,0.9535761741139956,0.9741860724851946,0.9895645972903568,0.9788977420603526,74281.71428571429,72290.0,-1368.5714285714348
2022/2/19,77100.0,1.0411299629004416,0.9866637739113748,0.980205289087022,1.0029571776263413,0.9771678126488162,0.982532829652178,0.97987679963833,71878.85714285714,70921.42857142857,-2154.5714285714203
2022/2/20,60104.0,1.0369914026037828,0.9815356622231288,0.9763433741145586,0.9917111359512618,0.9797633281615904,0.9791345611082491,0.9709447733213892,70575.0,68766.85714285714,-1905.857142857145
2022/2/21,30046.0,0.9526297661534404,0.9672688259193464,0.968665949592044,0.9895645972903568,0.9788977420603526,0.9528077186800848,0.9643965266321322,63237.0,66861.0,-1776.8367346938685
2022/2/22,83259.0,0.9534829514552804,0.9583460466102558,0.962551283989912,0.982532829652178,0.97987679963833,0.960429577159837,0.9586000596375654,63116.42857142857,65084.16326530613,-1561.3469387755176
2022/2/23,83984.0,0.9500992361127136,0.9516941839066698,0.9576693968400726,0.9791345611082491,0.9709447733213892,0.9404329934077564,0.9545193831985568,62893.42857142857,63522.816326530614,-1620.4897959183654
2022/2/24,35135.0,0.8797719178299996,0.9439836662396468,0.9536764388021944,0.9528077186800848,0.9643965266321322,0.9458734091264628,0.9505243442967052,62044.57142857143,61902.32653061225,-43.59183673468942
2022/2/25,72187.0,0.8943170892161327,0.94836682911896,0.9548390262850232,0.960429577159837,0.9586000596375654,0.9489893283283908,0.9570688039294604,61843.857142857145,61858.73469387756,-362.5918367346967
2022/2/26,75539.0,0.99456692397534,0.9524905638625,0.959897099333328,0.9404329934077564,0.9545193831985568,0.9539680945791176,0.9610562170442122,60949.42857142857,61496.14285714286,-644.6938775510207
2022/2/27,54162.0,0.983017778934622,0.9535849559579824,0.9645403817686946,0.9458734091264628,0.9505243442967052,0.9511692887952872,0.9665587646473988,59231.57142857143,60851.44897959184,-690.1836734693934
2022/2/28,28641.0,0.983311906308631,0.9754069382991478,0.969498110895887,0.9489893283283908,0.9570688039294604,0.9986189361093692,0.9710203080751476,62931.857142857145,60161.26530612245,-785.4693877550962
2022/3/1,76998.0,0.98234909466006,0.9937525579483896,0.9734588699557534,0.9539680945791176,0.9610562170442122,0.9883414689631012,0.974557278924225,60578.28571428572,59375.79591836735,-894.5510204081729
2022/3/2,71959.0,0.9577599807810916,0.984197160954236,0.9762898161906304,0.9511692887952872,0.9665587646473988,0.9789508266300624,0.9767762731160587,58380.57142857143,58481.24489795918,-823.4897959183654
2022/3/3,61037.0,1.0325257942181574,0.9786877701299936,0.9787839054328556,0.9986189361093692,0.9710203080751476,0.9771042131207048,0.9796335466237276,57213.28571428572,57657.755102040814,-1487.2653061224482
2022/3/4,55712.0,1.022736426760825,0.9760921425380248,0.9766882615121466,0.9883414689631012,0.974557278924225,0.973748124271932,0.972637085952619,56345.57142857143,56170.489795918365,-1289.142857142855
2022/3/5,60155.0,0.9276791450162648,0.9723071875066396,0.9707776772746072,0.9789508266300624,0.9767762731160587,0.9695010539219542,0.9678682743244176,54687.57142857143,54881.34693877551,-1109.6734693877515
2022/3/6,45991.0,0.9444520431649248,0.9710435806535588,0.9669666356519624,0.9771042131207048,0.9796335466237276,0.97117020334897,0.9651649108408163,53467.142857142855,53771.67346938776,-1025.857142857145
2022/3/7,22567.0,0.9651425131648492,0.9607374308541842,0.964473786146275,0.973748124271932,0.972637085952619,0.9496437114116076,0.9630651052980876,52521.0,52745.816326530614,-920.3673469387722
2022/3/8,65392.0,0.9558544094403648,0.9523784682856132,0.962776888608204,0.9695010539219542,0.9678682743244176,0.954959787565691,0.9619443337499192,51554.28571428572,51825.44897959184,-781.7346938775445
2022/3/9,63416.0,0.9489147328095248,0.9575198695957228,0.9621884334219982,0.97117020334897,0.9651649108408163,0.9600272822448556,0.9620622555921262,50612.857142857145,51043.7142857143,-725.4081632653179
2022/3/10,54414.0,0.9603827456225364,0.9612378235901816,0.962204006463786,0.9496437114116076,0.9630651052980876,0.962405574321602,0.9621652971211458,50032.28571428572,50318.30612244898,-709.061224489793
2022/3/11,48945.0,0.9642236887808266,0.9642138597715284,0.9638129383432856,0.954959787565691,0.9619443337499192,0.9659027234347546,0.9653640546916994,49903.0,49609.244897959186,-729.0816326530694
2022/3/12,53565.0,0.9636689541870328,0.9681880012031993,0.9665285447534748,0.9600272822448556,0.9620622555921262,0.970326506817402,0.9676062722830048,49215.42857142857,48880.16326530612,-814.897959183676
2022/3/13,41927.0,0.970477721126136,0.9711525919460748,0.9681143619140224,0.962405574321602,0.9621652971211458,0.9718914940521068,0.9685184008732816,48389.28571428572,48065.26530612244,-902.306122448972
2022/3/14,21662.0,0.985974766434277,0.97199995401068,0.968570101850474,0.9659027234347546,0.9653640546916994,0.9720350144054828,0.9684856653888568,47557.57142857143,47162.95918367347,-926.836734693883
2022/3/15,60579.0,0.9836733994620616,0.9713877131569384,0.9682082522617188,0.970326506817402,0.9676062722830048,0.9706553107048306,0.9677837159014654,46450.71428571428,46236.122448979586,-1738.2244897959172
2022/3/16,57633.0,0.969666868009653,0.9686205897195554,0.9644988844514087,0.9718914940521068,0.9685184008732816,0.9664121823767916,0.960888906561622,44908.57142857143,44497.89795918367,-1706.0816326530621
2022/3/17,48592.0,0.9663142800747732,0.9644280031453418,0.9577093968356952,0.9720350144054828,0.9684856653888568,0.9621764259306296,0.9537919641862708,43716.142857142855,42791.81632653061,-1541.1428571428478
2022/3/18,41197.0,0.959938002804635,0.9616809126502408,0.9513330248449644,0.9706553107048306,0.9677837159014654,0.9609890770230142,0.9476627819740476,43415.142857142855,41250.67346938776,-1330.9591836734762
2022/3/19,42770.0,0.9442990901253518,0.9422224265310312,0.9462465499598612,0.9664121823767916,0.960888906561622,0.9220628414384991,0.943003855946843,37047.857142857145,39919.71428571428,-1041.8367346938758
2022/3/20,33580.0,0.9411296151066414,0.92362617863608,0.9431617651598904,0.9621764259306296,0.9537919641862708,0.922212897424648,0.9407492377551115,36446.71428571428,38877.87755102041,-789.1836734693861
2022/3/21,19555.0,0.9667451329685712,0.9273653500755632,0.9424587365503596,0.9609890770230142,0.9476627819740476,0.9291307389199202,0.940743581417368,36769.57142857143,38088.69387755102,-736.9591836734689
2022/3/22,16008.0,0.8474639966275943,0.9357823889612176,0.9431744356006992,0.9220628414384991,0.943003855946843,0.938042828514398,0.9412456293134588,37134.0,37351.73469387755,972.5102040816346
2022/3/23,53425.0,0.8394931327449935,0.9470270961197575,0.9528092785080104,0.922212897424648,0.9407492377551115,0.9506298550346718,0.95943335361742,37615.71428571428,38324.244897959186,1085.020408163262
2022/3/24,50852.0,0.992488480151156,0.9595068028786272,0.9714626565308402,0.9291307389199202,0.940743581417368,0.9621368315664238,0.9784846267880328,38191.857142857145,39409.26530612245,1014.6530612244896
2022/3/25,43748.0,1.0188572750042135,0.966690806002618,0.9897429415365598,0.938042828514398,0.9412456293134588,0.9645034122956494,0.9960023023318002,38256.42857142857,40423.91836734694,1011.4489795918344
2022/3/26,46142.0,1.0230120402351324,1.0096663268822097,1.0065157840088417,0.9506298550346718,0.95943335361742,1.0493769115662293,1.012156819014787,43855.42857142857,41435.36734693877,1012.5306122448965
