Date,ALL,ä¥êıé“_MAV,ä¥êıé“_TMA,é¿å¯çƒê∂éYêîC,é¿å¯çƒê∂éYêîK,é¿å¯çƒê∂éYêîK_7ïΩãœ,é¿å¯çƒê∂éYêîB,é¿å¯çƒê∂éYêîN,é¿å¯çƒê∂éYêîB_dì˙å„,é¿å¯çƒê∂éYêîN_dì˙å„
2022/3/6,45991.0,53467.142857142855,53771.67346938776,0.9440041623701262,0.957294010872148,0.9619024381608815,0.9669368298303176,0.9724886996865761,0.9618710685701487,0.9637697911800454
2022/3/7,22567.0,52521.0,52745.816326530614,0.9457095222697998,0.9610882252101566,0.9618815669907448,0.9644358218867912,0.9715443232646468,0.9616713747783024,0.9641729053813417
2022/3/8,65392.0,51554.28571428572,51825.44897959184,0.9499636584712547,0.963805766787156,0.9635115658974573,0.962632179942204,0.9698299442928898,0.9632350385249064,0.9649235590771903
2022/3/9,63416.0,50612.857142857145,51043.7142857143,0.9549382426242083,0.9677301033644221,0.9663076144852747,0.9618710685701487,0.967708843913699,0.966116794864646,0.9657928371280656
2022/3/10,54414.0,50032.28571428572,50318.30612244898,0.9589481831573552,0.9709188654065235,0.9679623529535881,0.9616713747783024,0.9650735605860935,0.9678535561350702,0.9658247239683748
2022/3/11,48945.0,49903.0,49609.244897959186,0.9614990546203778,0.971897237341982,0.9685024780580769,0.9632350385249064,0.9639118913296416,0.9684828508339222,0.9649595423315579
2022/3/12,53565.0,49215.42857142857,48880.16326530612,0.9621728534377855,0.9714190924145348,0.9682365972079271,0.966116794864646,0.9637697911800454,0.968304779262977,0.9627512479377224
2022/3/13,41927.0,48389.28571428572,48065.26530612244,0.9601869952715205,0.9688771801503421,0.9647740815073785,0.9678535561350702,0.9641729053813417,0.9650188400638885,0.9594871599356287
2022/3/14,21662.0,47557.57142857143,47162.95918367347,0.9563346331641788,0.9648691009415782,0.9582865527366903,0.9684828508339222,0.9649235590771903,0.9587704198511963,0.9556478880260734
2022/3/15,60579.0,46450.71428571428,46236.122448979586,0.9526021458163241,0.9619446008361081,0.9518762639807078,0.968304779262977,0.9657928371280656,0.9525493229343961,0.9516499785307587
2022/3/16,57633.0,44908.57142857143,44497.89795918367,0.9333907915788947,0.9434924934605806,0.9463709620176609,0.9650188400638885,0.9658247239683748,0.9470760396210023,0.9476637154290386
2022/3/17,48592.0,43716.142857142855,42791.81632653061,0.9172628486744077,0.9255061640117057,0.9425997382577431,0.9587704198511963,0.9649595423315579,0.9430896952134223,0.9469303719997733
2022/3/18,41197.0,43415.142857142855,41250.67346938776,0.909276765833135,0.9270252160501048,0.9410659276981529,0.9525493229343961,0.9627512479377224,0.9410770814585624,0.9497577755343658
2022/3/19,42770.0,37047.857142857145,39919.71428571428,0.9094380302745241,0.9328819786732062,0.9408945863771052,0.9470760396210023,0.9594871599356287,0.9402845363052247,0.955976901008667
2022/3/20,33580.0,36446.71428571428,38877.87755102041,0.9184699919490312,0.9424786138309181,0.949850555405036,0.9430896952134223,0.9556478880260734,0.9483717463212515,0.965322688064731
2022/3/21,19555.0,36769.57142857143,38088.69387755102,0.9313218735999702,0.9541324270244461,0.9683618571082938,0.9410770814585624,0.9516499785307587,0.9662060333965977,0.9772671108232664
2022/3/22,16008.0,37134.0,37351.73469387755,0.941235676219542,0.9607452115887741,0.9866135519516576,0.9402845363052247,0.9476637154290386,0.9847822351394641,0.9912241949177031
2022/3/23,53425.0,37615.71428571428,38324.244897959186,0.9892330642338346,1.006184276656097,1.003546386378215,0.9483717463212515,0.9469303719997733,1.0025213835072417,1.0070421400434497
2022/3/24,50852.0,38191.857142857145,39409.26530612245,1.0319746984622369,1.055085275934511,1.0189164218366051,0.9662060333965977,0.9497577755343658,1.0186701851607247,1.01956128855869
2022/3/25,43748.0,38256.42857142857,40423.91836734694,1.0570262555130276,1.05478707995365,1.0322758381802137,0.9847822351394641,0.955976901008667,1.0324595109213148,1.0283653931835066
2022/3/26,46142.0,43855.42857142857,41435.36734693877,1.0679592499926622,1.0514118196591085,1.044316658684058,1.0025213835072417,0.965322688064731,1.0444305275409431,1.0337115337584317
2022/3/27,37613.0,44041.857142857145,42447.89795918367,1.067513388310533,1.050068862039649,1.0471017428107665,1.0186701851607247,0.9772671108232664,1.046703456891759,1.035802035019403
2022/3/28,20007.0,43872.142857142855,43409.69387755102,1.064223888934233,1.0476483414297064,1.0404007839421137,1.0324595109213148,0.9912241949177031,1.0397264130628132,1.0349939000756532
2022/3/29,55201.0,44214.142857142855,44359.36734693877,1.061322949659601,1.0450309551156833,1.0341442637742237,1.0444305275409431,1.0070421400434497,1.033454334961703,1.0317672483040716
2022/3/30,54730.0,44703.42857142857,44524.448979591834,1.0413420706591598,1.025679865543058,1.0287105766116247,1.046703456891759,1.01956128855869,1.0281257069168468,1.0263606977403141
2022/3/31,49664.0,44924.42857142857,44722.16326530613,1.0258141790857187,1.008178563853941,1.023511735420462,1.0397264130628132,1.0283653931835066,1.0231000219750517,1.0221747888983286
2022/4/1,46142.0,44904.142857142855,45013.83673469388,1.018556065889664,1.0109914387784196,1.0186719072920174,1.033454334961703,1.0337115337584317,1.0184517339191184,1.0191446617074127
2022/4/2,49567.0,45011.0,45320.36734693878,1.0161547410698235,1.013376009520915,1.0142952790986737,1.0281257069168468,1.035802035019403,1.014255422327181,1.016841811138653
2022/4/3,39160.0,45425.857142857145,45629.48979591838,1.017120408928947,1.0136769737015106,1.0130107082292572,1.0231000219750517,1.0349939000756532,1.0130378087203327,1.0150536555242844
