Date,ALL,éÄé“êî,ä¥êıé“_7ì˙ïΩãœ,éÄñSé“_7ì˙ïΩãœ,ívéÄó¶
2022/3/9,63416.0,206.0,50612.857142857145,178.14285714285714,0.0018911061559739198
2022/3/10,54414.0,212.0,50032.28571428572,175.0,0.0018702209430482028
2022/3/11,48945.0,165.0,49903.0,174.0,0.0017519702508580932
2022/3/12,53565.0,169.0,49215.42857142857,166.71428571428572,0.0017387114377605164
2022/3/13,41927.0,125.0,48389.28571428572,159.85714285714286,0.001620783821684257
2022/3/14,21662.0,108.0,47557.57142857143,153.14285714285714,0.0015590126853768215
2022/3/15,60579.0,182.0,46450.71428571428,152.0,0.0015254263351324755
2022/3/16,57633.0,158.0,44908.57142857143,146.0,0.001507825423081817
2022/3/17,48592.0,165.0,43716.142857142855,139.0,0.0014574544218709665
2022/3/18,41197.0,157.0,43415.142857142855,131.71428571428572,0.0014182016807828737
2022/3/19,42770.0,127.0,37047.857142857145,116.0,0.0015038463763086356
2022/3/20,33580.0,76.0,36446.71428571428,109.42857142857144,0.0015600073688790286
2022/3/21,19555.0,57.0,36769.57142857143,104.42857142857144,0.001546309642678146
2022/3/22,16008.0,72.0,37134.0,98.57142857142856,0.0015157460625226016
2022/3/23,53425.0,112.0,37615.71428571428,94.42857142857144,0.0014355702404010484
2022/3/24,50852.0,130.0,38191.857142857145,93.28571428571428,0.0013802493426048187
2022/3/25,43748.0,116.0,38256.42857142857,94.28571428571428,0.0013293750816856175
2022/3/26,46142.0,98.0,43855.42857142857,95.71428571428572,0.0011563969927163278
2022/3/27,37613.0,68.0,44041.857142857145,93.57142857142856,0.00112230897230881
2022/3/28,20007.0,64.0,43872.142857142855,87.42857142857143,0.0011038569870239821
2022/3/29,55201.0,82.0,44214.142857142855,85.57142857142857,0.001059777252915195
2022/3/30,54730.0,97.0,44703.42857142857,78.42857142857143,0.0010769388094233744
2022/3/31,49664.0,87.0,44924.42857142857,74.14285714285714,0.001036661568157318
2022/4/1,46142.0,103.0,44904.142857142855,70.85714285714286,0.001008497466030815
2022/4/2,49567.0,48.0,45011.0,67.71428571428571,0.0009902341332436197
2022/4/3,39160.0,38.0,45425.857142857145,63.71428571428572,0.0009182938603249882
2022/4/4,19865.0,41.0,45913.857142857145,61.57142857142857,0.0008867537655920872
2022/4/5,55949.0,60.0,46359.857142857145,55.71428571428572,0.0009090376834638342
2022/4/6,57634.0,69.0,46867.28571428572,56.85714285714285,0.0009144362043582027
2022/4/7,53080.0,72.0,47128.857142857145,56.85714285714285,0.0009578602130329613
2022/4/8,49264.0,62.0,47297.42857142857,56.285714285714285,0.0009212219329350432
2022/4/9,53119.0,56.0,47984.71428571428,54.0,0.0008723015960439781
2022/4/10,40991.0,38.0,48117.71428571428,52.71428571428572,0.0008461392299836119
2022/4/11,21045.0,37.0,47628.857142857145,50.85714285714285,0.0008788189632935613
2022/4/12,60760.0,44.0,46930.0,50.71428571428572,0.0008736415938632006
2022/4/13,58565.0,60.0,45610.57142857143,49.42857142857143,0.0008801217762799352
2022/4/14,49658.0,59.0,44392.142857142855,48.42857142857143,0.0007755555197991923
2022/4/15,44372.0,61.0,43613.28571428572,46.85714285714285,0.0007206192084325549
2022/4/16,43883.0,47.0,41934.42857142857,48.142857142857146,0.0007188092975086956
2022/4/17,32462.0,31.0,40626.142857142855,46.57142857142857,0.0007595390723074165
2022/4/18,15593.0,26.0,39741.0,45.285714285714285,0.0007620773077102812
2022/4/19,49008.0,53.0,39150.28571428572,44.57142857142857,0.0007735758177280223
2022/4/20,49407.0,49.0,39088.0,41.71428571428572,0.0007711537336997837
2022/4/21,43462.0,50.0,39287.0,40.71428571428572,0.0008254275314626068
2022/4/22,40237.0,56.0,39442.57142857143,42.142857142857146,0.0008982317872639426
2022/4/23,43447.0,27.0,39254.142857142855,42.85714285714285,0.0008879863453902955
2022/4/24,33855.0,24.0,38694.0,45.142857142857146,0.000937760745482873
2022/4/25,16682.0,36.0,38009.0,43.57142857142857,0.0009321100641577372
2022/4/26,47689.0,58.0,37233.0,41.85714285714285,0.0009438631628624378
2022/4/27,45486.0,65.0,33281.28571428572,40.71428571428572,0.0009786709819761426
2022/4/28,38667.0,39.0,32251.571428571428,41.85714285714285,0.0010586416608714528
